ESTAR: Stopping Powers and Range Tables for Electrons

HELIUM                                                                    

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 2.267E+01 
1.250E-02 1.898E+01 
1.500E-02 1.642E+01 
1.750E-02 1.453E+01 
2.000E-02 1.307E+01 
2.500E-02 1.097E+01 
3.000E-02 9.522E+00 
3.500E-02 8.458E+00 
4.000E-02 7.643E+00 
4.500E-02 6.997E+00 
5.000E-02 6.472E+00 
5.500E-02 6.037E+00 
6.000E-02 5.670E+00 
7.000E-02 5.085E+00 
8.000E-02 4.639E+00 
9.000E-02 4.288E+00 
1.000E-01 4.004E+00 
1.250E-01 3.487E+00 
1.500E-01 3.139E+00 
1.750E-01 2.889E+00 
2.000E-01 2.701E+00 
2.500E-01 2.441E+00 
3.000E-01 2.270E+00 
3.500E-01 2.152E+00 
4.000E-01 2.066E+00 
4.500E-01 2.002E+00 
5.000E-01 1.954E+00 
5.500E-01 1.916E+00 
6.000E-01 1.887E+00 
7.000E-01 1.845E+00 
8.000E-01 1.818E+00 
9.000E-01 1.801E+00 
1.000E+00 1.791E+00 
1.250E+00 1.782E+00 
1.500E+00 1.787E+00 
1.750E+00 1.797E+00 
2.000E+00 1.810E+00 
2.500E+00 1.839E+00 
3.000E+00 1.869E+00 
3.500E+00 1.898E+00 
4.000E+00 1.925E+00 
4.500E+00 1.950E+00 
5.000E+00 1.974E+00 
5.500E+00 1.997E+00 
6.000E+00 2.018E+00 
7.000E+00 2.057E+00 
8.000E+00 2.093E+00 
9.000E+00 2.126E+00 
1.000E+01 2.157E+00 
1.250E+01 2.227E+00 
1.500E+01 2.289E+00 
1.750E+01 2.345E+00 
2.000E+01 2.397E+00 
2.500E+01 2.493E+00 
3.000E+01 2.580E+00 
3.500E+01 2.662E+00 
4.000E+01 2.739E+00 
4.500E+01 2.814E+00 
5.000E+01 2.886E+00 
5.500E+01 2.956E+00 
6.000E+01 3.025E+00 
7.000E+01 3.158E+00 
8.000E+01 3.288E+00 
9.000E+01 3.412E+00 
1.000E+02 3.532E+00 
1.250E+02 3.818E+00 
1.500E+02 4.095E+00 
1.750E+02 4.367E+00 
2.000E+02 4.637E+00 
2.500E+02 5.173E+00 
3.000E+02 5.705E+00 
3.500E+02 6.237E+00 
4.000E+02 6.768E+00 
4.500E+02 7.300E+00 
5.000E+02 7.831E+00 
5.500E+02 8.362E+00 
6.000E+02 8.892E+00 
7.000E+02 9.955E+00 
8.000E+02 1.102E+01 
9.000E+02 1.208E+01 
1.000E+03 1.314E+01 
